query_case,rank,similar_case,score
Copy of JUDG__22,2,Copy of JUDG__93,0.6550615429878235
Copy of JUDG__22,3,Copy of JUDG__66,0.6405654549598694
Copy of JUDG__22,4,Copy of JUDG__83,0.6388605833053589
Copy of JUDG__22,5,Copy of JUDG__79,0.638271689414978
Copy of JUDG__23,1,Copy of JUDG__87,0.4148648977279663
Copy of JUDG__23,2,Copy of JUDG__41,0.4075901508331299
Copy of JUDG__23,3,Copy of JUDG__49,0.3914698362350464
Copy of JUDG__23,4,Copy of JUDG__11,0.374167799949646
Copy of JUDG__23,5,Copy of JUDG__2,0.37331146001815796
Copy of JUDG__24,1,Copy of JUDG__28,0.559618353843689
Copy of JUDG__24,2,Copy of JUDG__34,0.5592091679573059
Copy of JUDG__24,3,Copy of JUDG__82,0.5153672695159912
Copy of JUDG__24,4,Copy of JUDG__50,0.48160338401794434
Copy of JUDG__24,5,judgement_C_P_L_A_1107-L_2015,0.4692208468914032
Copy of JUDG__25,1,Copy of JUDG__75,0.5940741300582886
Copy of JUDG__25,2,Copy of JUDG__79,0.5861879587173462
Copy of JUDG__25,3,Copy of JUDG__22,0.5778852701187134
Copy of JUDG__25,4,Copy of JUDG__83,0.5777802467346191
Copy of JUDG__25,5,Copy of JUDG__72,0.5720270872116089
Copy of JUDG__26,1,Copy of JUDG__51,0.7103271484375
Copy of JUDG__26,2,Copy of JUDG__4,0.7038272023200989
Copy of JUDG__26,3,judgement_C_P_L_A_933-K_2023,0.6781080961227417
Copy of JUDG__26,4,judgement_C_A_101-K_2022,0.6749832034111023
Copy of JUDG__26,5,judgement_Crl_P_L_A_147-K_2025,0.650407075881958
Copy of JUDG__27,1,Copy of JUDG__68,0.7686405777931213
Copy of JUDG__27,2,Copy of JUDG__66,0.7412045001983643
Copy of JUDG__27,3,Copy of JUDG__51,0.7140937447547913
Copy of JUDG__27,4,Copy of JUDG__105,0.6472697257995605
Copy of JUDG__27,5,Copy of JUDG__12,0.6441957950592041
Copy of JUDG__28,1,Copy of JUDG__24,0.559618353843689
Copy of JUDG__28,2,Copy of JUDG__34,0.453385591506958
Copy of JUDG__28,3,Copy of JUDG__50,0.3670862913131714
Copy of JUDG__28,4,Copy of JUDG__44,0.3608776032924652
Copy of JUDG__28,5,Copy of JUDG__18,0.35316312313079834
Copy of JUDG__29,1,Copy of JUDG__32,0.6650853157043457
Copy of JUDG__29,2,Copy of JUDG__11,0.6317062973976135
Copy of JUDG__29,3,judgement_Crl_P_L_A_1184_2025,0.5833448171615601
Copy of JUDG__29,4,Copy of JUDG__15,0.5823238492012024
Copy of JUDG__29,5,Copy of JUDG__31,0.5692334175109863
Copy of JUDG__3,1,Copy of JUDG__8,0.7062063217163086
Copy of JUDG__3,2,Copy of JUDG__59,0.6601481437683105
Copy of JUDG__3,3,Copy of JUDG__85,0.6446374654769897
Copy of JUDG__3,4,Copy of JUDG__18,0.6135120391845703
Copy of JUDG__3,5,Copy of JUDG__73,0.5819517374038696
Copy of JUDG__30,1,Copy of JUDG__50,0.7283031940460205
Copy of JUDG__30,2,Copy of JUDG__18,0.6721842288970947
Copy of JUDG__30,3,Copy of JUDG__13,0.6456745862960815
Copy of JUDG__30,4,Copy of JUDG__33,0.6424845457077026
Copy of JUDG__30,5,judgement_C_P_L_A_4-K_2025,0.630164384841919
Copy of JUDG__31,1,judgement_J_P_541_2021,0.6044474840164185
Copy of JUDG__31,2,Copy of JUDG__4,0.5930547714233398
Copy of JUDG__31,3,Copy of JUDG__85,0.5863280892372131
Copy of JUDG__31,4,Copy of JUDG__32,0.5748848915100098
Copy of JUDG__31,5,judgement_C_P_L_A_2555_2022,0.5710206627845764
Copy of JUDG__32,1,Copy of JUDG__11,0.7362017631530762
Copy of JUDG__32,2,Copy of JUDG__29,0.6650853157043457
Copy of JUDG__32,3,Copy of JUDG__36,0.6121730804443359
Copy of JUDG__32,4,judgement_J_P_541_2021,0.6118563413619995
Copy of JUDG__32,5,Copy of JUDG__20,0.5841656923294067
Copy of JUDG__33,1,Copy of JUDG__50,0.6584972143173218
Copy of JUDG__33,2,Copy of JUDG__30,0.6424845457077026
Copy of JUDG__33,3,Copy of JUDG__39,0.5792186260223389
Copy of JUDG__33,4,Copy of JUDG__84,0.5792186260223389
Copy of JUDG__33,5,Copy of JUDG__8,0.5554168820381165
Copy of JUDG__34,1,Copy of JUDG__4,0.6165955066680908
Copy of JUDG__34,2,Copy of JUDG__72,0.58660888671875
Copy of JUDG__34,3,Copy of JUDG__20,0.5669371485710144
Copy of JUDG__34,4,Copy of JUDG__24,0.5592091679573059
Copy of JUDG__34,5,judgement_Crl_P_L_A_1184_2025,0.5569618940353394
Copy of JUDG__35,1,Copy of JUDG__11,0.6076384782791138
Copy of JUDG__35,2,Copy of JUDG__36,0.5899856090545654
Copy of JUDG__35,3,Copy of JUDG__37,0.5843775272369385
Copy of JUDG__35,4,Copy of JUDG__61,0.5327295064926147
Copy of JUDG__35,5,Copy of JUDG__65,0.5255374312400818
Copy of JUDG__36,1,Copy of JUDG__49,0.6937206983566284
Copy of JUDG__36,2,Copy of JUDG__11,0.6472399234771729
Copy of JUDG__36,3,judgement_Crl_P_L_A_147-K_2025,0.6259640455245972
Copy of JUDG__36,4,Copy of JUDG__76,0.619832456111908
Copy of JUDG__36,5,Copy of JUDG__32,0.6121730804443359
Copy of JUDG__37,1,Copy of JUDG__35,0.5843775272369385
Copy of JUDG__37,2,Copy of JUDG__65,0.5714373588562012
Copy of JUDG__37,3,Copy of JUDG__8,0.5305635333061218
Copy of JUDG__37,4,Copy of JUDG__96,0.529436469078064
Copy of JUDG__37,5,Copy of JUDG__57,0.529436469078064
Copy of JUDG__38,1,Copy of JUDG__46,0.6939745545387268
Copy of JUDG__38,2,Copy of JUDG__14,0.4748450517654419
Copy of JUDG__38,3,Copy of JUDG__39,0.4217662811279297
Copy of JUDG__38,4,Copy of JUDG__84,0.4217662811279297
Copy of JUDG__38,5,Copy of JUDG__33,0.3914705514907837
Copy of JUDG__39,1,Copy of JUDG__84,1.0000001192092896
Copy of JUDG__39,2,Copy of JUDG__33,0.5792186260223389
Copy of JUDG__39,3,Copy of JUDG__8,0.5331553220748901
Copy of JUDG__39,4,judgement_Crl_P_L_A_147-K_2025,0.5272645950317383
Copy of JUDG__39,5,Copy of JUDG__65,0.5259416103363037
Copy of JUDG__4,1,Copy of JUDG__26,0.7038272023200989
Copy of JUDG__4,2,judgement_Crl_P_L_A_147-K_2025,0.6983773112297058
Copy of JUDG__4,3,judgement_C_P_L_A_933-K_2023,0.6805403828620911
Copy of JUDG__4,4,Copy of JUDG__66,0.6702001094818115
Copy of JUDG__4,5,judgement_Crl_P_L_A_960_2025,0.6660186052322388
Copy of JUDG__40,1,judgement_Crl_P_L_A_1184_2025,0.5898364782333374
Copy of JUDG__40,2,judgement_C_A_1388_2017,0.5583999752998352
Copy of JUDG__40,3,Copy of JUDG__26,0.5485196113586426
Copy of JUDG__40,4,Copy of JUDG__66,0.5383381843566895
Copy of JUDG__40,5,Copy of JUDG__58,0.526939332485199
Copy of JUDG__41,1,Copy of JUDG__72,0.6675059199333191
Copy of JUDG__41,2,Copy of JUDG__4,0.6366389989852905
Copy of JUDG__41,3,judgement_J_P_541_2021,0.61860191822052
Copy of JUDG__41,4,Copy of JUDG__26,0.6173336505889893
Copy of JUDG__41,5,judgement_C_P_L_A_1032-K_2025,0.613831639289856
Copy of JUDG__42,1,Copy of JUDG__66,0.7282204627990723
Copy of JUDG__42,2,Copy of JUDG__105,0.7002634406089783
Copy of JUDG__42,3,Copy of JUDG__72,0.6929302215576172
Copy of JUDG__42,4,Copy of JUDG__13,0.6875137090682983
Copy of JUDG__42,5,Copy of JUDG__6,0.6737464666366577
Copy of JUDG__43,1,Copy of JUDG__97,0.5639674067497253
Copy of JUDG__43,2,Copy of JUDG__6657,0.5523120164871216
Copy of JUDG__43,3,Copy of JUDG__10,0.5435060262680054
Copy of JUDG__43,4,Copy of JUDG__22,0.5313226580619812
Copy of JUDG__43,5,judgement_J_P_554_2023,0.5181283950805664
Copy of JUDG__44,1,Copy of JUDG__58,0.6203567981719971
Copy of JUDG__44,2,Copy of JUDG__13,0.61470627784729
Copy of JUDG__44,3,judgement_Crl_P_L_A_960_2025,0.6088607311248779
Copy of JUDG__44,4,Copy of JUDG__18,0.6087158918380737
Copy of JUDG__44,5,Copy of JUDG__42,0.6049503684043884
Copy of JUDG__45,1,Copy of JUDG__18,0.5555973052978516
Copy of JUDG__45,2,Copy of JUDG__64,0.5363306999206543
Copy of JUDG__45,3,Copy of JUDG__6,0.5360854864120483
Copy of JUDG__45,4,judgement_Crl_P_L_A_1184_2025,0.5352742671966553
Copy of JUDG__45,5,judgement_Crl_P_L_A_585_2025,0.5348855257034302
Copy of JUDG__46,1,Copy of JUDG__38,0.6939745545387268
Copy of JUDG__46,2,Copy of JUDG__84,0.45618075132369995
Copy of JUDG__46,3,Copy of JUDG__39,0.45618075132369995
Copy of JUDG__46,4,Copy of JUDG__33,0.4413001835346222
Copy of JUDG__46,5,Copy of JUDG__14,0.432928204536438
Copy of JUDG__47,1,Copy of JUDG__105,0.6742370128631592
Copy of JUDG__47,2,Copy of JUDG__51,0.6690720319747925
Copy of JUDG__47,3,Copy of JUDG__13,0.6631170511245728
Copy of JUDG__47,4,Copy of JUDG__42,0.6371741890907288
Copy of JUDG__47,5,Copy of JUDG__66,0.6347476840019226
Copy of JUDG__49,1,Copy of JUDG__36,0.6937206983566284
Copy of JUDG__49,2,Copy of JUDG__76,0.6491314172744751
Copy of JUDG__49,3,Copy of JUDG__53,0.5934451222419739
Copy of JUDG__49,4,Copy of JUDG__11,0.5924389958381653
Copy of JUDG__49,5,judgement_Crl_P_L_A_147-K_2025,0.5852049589157104
Copy of JUDG__4998,1,Copy of JUDG__64,0.5119653940200806
Copy of JUDG__4998,2,Copy of JUDG__93,0.5019192099571228
Copy of JUDG__4998,3,Copy of JUDG__68,0.5000029802322388
Copy of JUDG__4998,4,Copy of JUDG__17,0.4948663115501404
Copy of JUDG__4998,5,Copy of JUDG__79,0.49428790807724
Copy of JUDG__5,1,Copy of JUDG__9,1.0
Copy of JUDG__5,2,Copy of JUDG__16,0.6827705502510071
Copy of JUDG__5,3,Copy of JUDG__6,0.673749566078186
Copy of JUDG__5,4,Copy of JUDG__105,0.6371145248413086
Copy of JUDG__5,5,Copy of JUDG__58,0.6352262496948242
Copy of JUDG__50,1,Copy of JUDG__30,0.7283031940460205
Copy of JUDG__50,2,Copy of JUDG__8,0.7023376226425171
Copy of JUDG__50,3,Copy of JUDG__15,0.6835992336273193
Copy of JUDG__50,4,Copy of JUDG__80,0.6820603609085083
Copy of JUDG__50,5,Copy of JUDG__73,0.672805905342102
Copy of JUDG__51,1,Copy of JUDG__27,0.7140937447547913
Copy of JUDG__51,2,Copy of JUDG__26,0.7103271484375
Copy of JUDG__51,3,Copy of JUDG__68,0.7011047601699829
Copy of JUDG__51,4,Copy of JUDG__66,0.6963449716567993
Copy of JUDG__51,5,Copy of JUDG__47,0.6690720319747925
Copy of JUDG__52,1,Copy of JUDG__66,0.6533335447311401
Copy of JUDG__52,2,Copy of JUDG__42,0.6316418647766113
Copy of JUDG__52,3,Copy of JUDG__72,0.630073606967926
Copy of JUDG__52,4,Copy of JUDG__13,0.5967820882797241
Copy of JUDG__52,5,Copy of JUDG__93,0.5959041118621826
Copy of JUDG__53,1,Copy of JUDG__11,0.6715991497039795
Copy of JUDG__53,2,Copy of JUDG__49,0.5934451222419739
Copy of JUDG__53,3,Copy of JUDG__42,0.5698193311691284
Copy of JUDG__53,4,Copy of JUDG__36,0.5659433007240295
Copy of JUDG__53,5,judgement_Crl_P_L_A_147-K_2025,0.5647472143173218
Copy of JUDG__54,1,Copy of JUDG__73,0.6300836205482483
Copy of JUDG__54,2,Copy of JUDG__8,0.6146985292434692
Copy of JUDG__54,3,Copy of JUDG__59,0.6089698672294617
Copy of JUDG__54,4,Copy of JUDG__85,0.6041243672370911
Copy of JUDG__54,5,Copy of JUDG__7,0.5951683521270752
Copy of JUDG__55,1,Copy of JUDG__63,0.9994450807571411
Copy of JUDG__55,2,Copy of JUDG__20,0.6710162162780762
Copy of JUDG__55,3,Copy of JUDG__85,0.6653597354888916
Copy of JUDG__55,4,judgement_C_P_L_A_2555_2022,0.6486518383026123
Copy of JUDG__55,5,Copy of JUDG__73,0.6185660362243652
Copy of JUDG__57,1,Copy of JUDG__96,1.0000001192092896
Copy of JUDG__57,2,Copy of JUDG__72,0.6799404621124268
Copy of JUDG__57,3,Copy of JUDG__83,0.6700447797775269
Copy of JUDG__57,4,Copy of JUDG__65,0.6534097790718079
Copy of JUDG__57,5,Copy of JUDG__13,0.6531513929367065
Copy of JUDG__58,1,Copy of JUDG__75,0.769355297088623
Copy of JUDG__58,2,Copy of JUDG__6,0.7241100668907166
Copy of JUDG__58,3,judgement_Crl_P_L_A_219-P_2023,0.7164351940155029
Copy of JUDG__58,4,Copy of JUDG__16,0.7119036316871643
Copy of JUDG__58,5,Copy of JUDG__83,0.705676794052124
Copy of JUDG__59,1,Copy of JUDG__8,0.7847404479980469
Copy of JUDG__59,2,Copy of JUDG__72,0.7182287573814392
Copy of JUDG__59,3,Copy of JUDG__73,0.7044478058815002
Copy of JUDG__59,4,Copy of JUDG__58,0.693905234336853
Copy of JUDG__59,5,Copy of JUDG__6,0.6749705672264099
Copy of JUDG__6,1,Copy of JUDG__58,0.7241100668907166
Copy of JUDG__6,2,Copy of JUDG__8,0.7118469476699829
Copy of JUDG__6,3,Copy of JUDG__66,0.7085244655609131
Copy of JUDG__6,4,Copy of JUDG__105,0.700003981590271
Copy of JUDG__6,5,Copy of JUDG__13,0.6983622312545776
Copy of JUDG__60,1,Copy of JUDG__9,0.5505077838897705
Copy of JUDG__60,2,Copy of JUDG__5,0.5505077838897705
Copy of JUDG__60,3,Copy of JUDG__79,0.5326563119888306
Copy of JUDG__60,4,judgement_Crl_A_343_2023,0.5067561864852905
Copy of JUDG__60,5,Copy of JUDG__83,0.5043403506278992
Copy of JUDG__61,1,Copy of JUDG__11,0.648921012878418
Copy of JUDG__61,2,Copy of JUDG__73,0.5937657356262207
Copy of JUDG__61,3,Copy of JUDG__59,0.5548259019851685
Copy of JUDG__61,4,judgement_Crl_P_L_A_147-K_2025,0.550298810005188
Copy of JUDG__61,5,judgement_Crl_P_L_A_1184_2025,0.5398223400115967
Copy of JUDG__62,1,judgement_C_A_1388_2017,0.4867110550403595
Copy of JUDG__62,2,Copy of JUDG__49,0.4826927185058594
Copy of JUDG__62,3,Copy of JUDG__58,0.47241413593292236
Copy of JUDG__62,4,Copy of JUDG__76,0.4612617492675781
Copy of JUDG__62,5,Copy of JUDG__36,0.45353075861930847
Copy of JUDG__63,1,Copy of JUDG__55,0.9994450807571411
Copy of JUDG__63,2,Copy of JUDG__20,0.6691807508468628
Copy of JUDG__63,3,Copy of JUDG__85,0.6677624583244324
Copy of JUDG__63,4,judgement_C_P_L_A_2555_2022,0.6516706943511963
Copy of JUDG__63,5,Copy of JUDG__73,0.6157416105270386
Copy of JUDG__64,1,Copy of JUDG__13,0.5634174346923828
Copy of JUDG__64,2,Copy of JUDG__6,0.5544630289077759
Copy of JUDG__64,3,Copy of JUDG__47,0.551234781742096
Copy of JUDG__64,4,Copy of JUDG__54,0.5489093065261841
Copy of JUDG__64,5,Copy of JUDG__98,0.5453797578811646
Copy of JUDG__65,1,Copy of JUDG__85,0.694968581199646
Copy of JUDG__65,2,Copy of JUDG__70,0.6858369708061218
Copy of JUDG__65,3,Copy of JUDG__8,0.6817018985748291
Copy of JUDG__65,4,Copy of JUDG__96,0.6534097790718079
Copy of JUDG__65,5,Copy of JUDG__57,0.6534097790718079
Copy of JUDG__66,1,Copy of JUDG__105,0.7534568905830383
Copy of JUDG__66,2,Copy of JUDG__68,0.7433375120162964
Copy of JUDG__66,3,Copy of JUDG__27,0.7412045001983643
Copy of JUDG__66,4,Copy of JUDG__17,0.7365819215774536
Copy of JUDG__66,5,Copy of JUDG__42,0.7282205820083618
Copy of JUDG__6657,1,Copy of JUDG__22,0.5636533498764038
Copy of JUDG__6657,2,Copy of JUDG__66,0.5599039793014526
Copy of JUDG__6657,3,Copy of JUDG__97,0.5532495379447937
Copy of JUDG__6657,4,Copy of JUDG__68,0.5527948141098022
Copy of JUDG__6657,5,Copy of JUDG__43,0.5523120164871216
Copy of JUDG__67,1,Copy of JUDG__58,0.7039387822151184
Copy of JUDG__67,2,Copy of JUDG__6,0.6931025981903076
Copy of JUDG__67,3,Copy of JUDG__72,0.6582916975021362
Copy of JUDG__67,4,Copy of JUDG__59,0.6424856185913086
Copy of JUDG__67,5,Copy of JUDG__83,0.6415576338768005
Copy of JUDG__68,1,Copy of JUDG__27,0.7686405181884766
Copy of JUDG__68,2,Copy of JUDG__66,0.7433375716209412
Copy of JUDG__68,3,Copy of JUDG__17,0.7098662853240967
Copy of JUDG__68,4,Copy of JUDG__79,0.7070817947387695
Copy of JUDG__68,5,Copy of JUDG__51,0.7011048793792725
Copy of JUDG__69,1,judgement_Crl_P_L_A_585_2025,0.6269506216049194
Copy of JUDG__69,2,Copy of JUDG__20,0.6123942136764526
Copy of JUDG__69,3,Copy of JUDG__41,0.5989327430725098
Copy of JUDG__69,4,Copy of JUDG__18,0.5809027552604675
Copy of JUDG__69,5,Copy of JUDG__63,0.5722096562385559
Copy of JUDG__7,1,Copy of JUDG__8,0.7272329330444336
Copy of JUDG__7,2,Copy of JUDG__58,0.6726824045181274
Copy of JUDG__7,3,Copy of JUDG__85,0.6551030874252319
Copy of JUDG__7,4,Copy of JUDG__6,0.6543163061141968
Copy of JUDG__7,5,Copy of JUDG__18,0.6361292600631714
Copy of JUDG__70,1,Copy of JUDG__65,0.6858369708061218
Copy of JUDG__70,2,Copy of JUDG__8,0.6544020175933838
Copy of JUDG__70,3,Copy of JUDG__57,0.6497161388397217
Copy of JUDG__70,4,Copy of JUDG__96,0.6497161388397217
Copy of JUDG__70,5,Copy of JUDG__59,0.5936850309371948
Copy of JUDG__71,1,Copy of JUDG__80,0.6514372229576111
Copy of JUDG__71,2,Copy of JUDG__59,0.6221975684165955
Copy of JUDG__71,3,Copy of JUDG__75,0.6015287041664124
Copy of JUDG__71,4,Copy of JUDG__58,0.5965476632118225
Copy of JUDG__71,5,Copy of JUDG__78,0.5933579802513123
Copy of JUDG__72,1,Copy of JUDG__59,0.7182287573814392
Copy of JUDG__72,2,Copy of JUDG__92,0.699378252029419
Copy of JUDG__72,3,Copy of JUDG__42,0.6929302215576172
Copy of JUDG__72,4,Copy of JUDG__8,0.6909055709838867
Copy of JUDG__72,5,Copy of JUDG__15,0.6828334927558899
Copy of JUDG__7222,1,Copy of JUDG__58,0.5954376459121704
Copy of JUDG__7222,2,Copy of JUDG__75,0.5628458857536316
Copy of JUDG__7222,3,Copy of JUDG__68,0.5460644960403442
Copy of JUDG__7222,4,Copy of JUDG__67,0.5338728427886963
Copy of JUDG__7222,5,Copy of JUDG__79,0.530797004699707
Copy of JUDG__73,1,Copy of JUDG__8,0.7291918992996216
Copy of JUDG__73,2,Copy of JUDG__15,0.7093459367752075
Copy of JUDG__73,3,Copy of JUDG__59,0.7044478058815002
Copy of JUDG__73,4,Copy of JUDG__85,0.6794313192367554
Copy of JUDG__73,5,Copy of JUDG__50,0.672805905342102
Copy of JUDG__74,1,Copy of JUDG__76,0.5252809524536133
Copy of JUDG__74,2,Copy of JUDG__36,0.514108419418335
Copy of JUDG__74,3,Copy of JUDG__42,0.483046293258667
Copy of JUDG__74,4,judgement_J_P_541_2021,0.4544334411621094
Copy of JUDG__74,5,judgement_Crl_P_L_A_1144_2025,0.44845932722091675
Copy of JUDG__7486,1,Copy of JUDG__93,0.5900420546531677
Copy of JUDG__7486,2,Copy of JUDG__83,0.5553292632102966
Copy of JUDG__7486,3,Copy of JUDG__13,0.5323448181152344
Copy of JUDG__7486,4,Copy of JUDG__90,0.5197553038597107
Copy of JUDG__7486,5,Copy of JUDG__67,0.5184488892555237
Copy of JUDG__7489,1,Copy of JUDG__33,0.4604940116405487
Copy of JUDG__7489,2,Copy of JUDG__7222,0.4583238661289215
Copy of JUDG__7489,3,Copy of JUDG__59,0.45760399103164673
Copy of JUDG__7489,4,Copy of JUDG__67,0.4544409513473511
Copy of JUDG__7489,5,Copy of JUDG__32,0.45212534070014954
Copy of JUDG__75,1,Copy of JUDG__58,0.769355297088623
Copy of JUDG__75,2,Copy of JUDG__83,0.6812084913253784
Copy of JUDG__75,3,Copy of JUDG__79,0.6589208841323853
Copy of JUDG__75,4,Copy of JUDG__12,0.6453375220298767
Copy of JUDG__75,5,Copy of JUDG__16,0.6418630480766296
Copy of JUDG__76,1,Copy of JUDG__49,0.6491314172744751
Copy of JUDG__76,2,Copy of JUDG__42,0.6447677612304688
Copy of JUDG__76,3,Copy of JUDG__36,0.619832456111908
Copy of JUDG__76,4,Copy of JUDG__72,0.6163630485534668
Copy of JUDG__76,5,Copy of JUDG__11,0.603458046913147
Copy of JUDG__77,1,Copy of JUDG__69,0.5549112558364868
Copy of JUDG__77,2,Copy of JUDG__70,0.4661655128002167
